Test_Number,Test,A/S,Location_Type(Catagory),Test(META???),Location_Type,Test_Location,??,EMA#1,EMA#2,EMAW,EMAS,EMAP,WABL,WABLM,RAWL,RAWLM,KEN,RANGE,Value,Test_Type(Shmoo),Location_Type(Shmoo),Test_Location(Shmoo),??(Shmoo),EMA#1(Shmoo),EMA#2(Shmoo),EMAW(Shmoo),EMAS(Shmoo),EMAP(Shmoo),WABL(Shmoo),WABLM(Shmoo),RAWL(Shmoo),RAWLM(Shmoo),KEN(Shmoo),Value(Shmoo)
3000,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,256X160M2F2,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,256X160M2F2,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.460V,shmoo_bsmin_vec,RA1HD,256X160M2F2,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.460V
1013,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,2048X8M2F4,ABT_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,2048X8M2F4,ABT_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.500V,shmoo_bsmin_vec,RA1HD,2048X8M2F4,ABT_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.500V
1016,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,512X160M4F2,ABW_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,512X160M4F2,ABW_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.460V,shmoo_bsmin_vec,RA1HD,512X160M4F2,ABW_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.460V
1015,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,512X161M4F2,ABW_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,512X161M4F2,ABW_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.435V,shmoo_bsmin_vec,RA1HD,512X161M4F2,ABW_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.435V
1016,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,1024X128M8F2,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,1024X128M8F2,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.470V,shmoo_bsmin_vec,RA1HD,1024X128M8F2,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.470V
1013,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,512X320M4F2,ABL_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,512X320M4F2,ABL_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.475V,shmoo_bsmin_vec,RA1HD,512X320M4F2,ABL_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.475V
1014,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,8192X320M4F8,ABGRTW_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,8192X320M4F8,ABGRTW_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.505V,shmoo_bsmin_vec,RA1HD,8192X320M4F8,ABGRTW_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.505V
1013,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,32768X8M16F8,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,32768X8M16F8,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.500V,shmoo_bsmin_vec,RA1HD,32768X8M16F8,AB_HS_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.500V
1016,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,8192X80M16F2,AB_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,8192X80M16F2,AB_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.455V,shmoo_bsmin_vec,RA1HD,8192X80M16F2,AB_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.455V
1015,tb_vmin_ckb,std,RA1H,Vmax_vec,RA1HD,2048X60M16F2,ABR_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,99,vddpe_1.2000V_vddce_1.2000V_dvdd_1.200V_100.00ns,(P),shmoo_bsmin_vec,RA1HD,2048X60M16F2,ABR_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.450V,shmoo_bsmin_vec,RA1HD,2048X60M16F2,ABR_LP_m22n,A2,B99,A1,A0,0,99,99,99,99,ken99,0.450V
